id;date;details;status;payment_method;payment_date;payment_amount
1;2022-07-27T16:44:27;RAM systemic;PAID;CASH_ON_DELIVERY;2022-07-27T21:10:22;5801
2;2022-07-27T10:58:38;Idaho calculating model;ISSUED;CREDIT_CARD;2022-07-27T13:13:35;75071
3;2022-07-27T09:44:36;program SQL;CANCELLED;CREDIT_CARD;2022-07-27T08:24:00;79944
4;2022-07-27T20:38:43;Soft Central;PAID;CASH_ON_DELIVERY;2022-07-27T17:54:24;8068
5;2022-07-28T00:45:35;Bhutanese;CANCELLED;PAYPAL;2022-07-28T02:35:08;87472
6;2022-07-27T13:22:03;Engineer Shirt Court;CANCELLED;PAYPAL;2022-07-28T05:06:30;62834
7;2022-07-28T00:54:25;program transmitting parse;PAID;CREDIT_CARD;2022-07-27T15:54:43;38509
8;2022-07-27T15:36:01;Dynamic iterate;PAID;CREDIT_CARD;2022-07-27T11:52:49;6085
9;2022-07-27T08:29:44;black Maine;PAID;CREDIT_CARD;2022-07-27T11:11:49;11254
10;2022-07-27T21:45:05;Lead Well;CANCELLED;PAYPAL;2022-07-27T11:02:13;85804
