id;placed_date;status;code
1;2022-07-28T00:08:25;COMPLETED;Electronics
2;2022-07-27T18:30:24;COMPLETED;payment PCI violet
3;2022-07-28T04:59:17;CANCELLED;background out-of-the-box withdrawal
4;2022-07-27T09:02:18;COMPLETED;Music real-time
5;2022-07-27T17:06:27;CANCELLED;Hat
6;2022-07-28T05:51:15;PENDING;solid navigating
7;2022-07-27T15:47:01;PENDING;Toys maroon
8;2022-07-28T04:36:35;COMPLETED;Developer
9;2022-07-27T12:04:59;COMPLETED;Credit Soft Cotton
10;2022-07-28T02:47:35;CANCELLED;contingency Bedfordshire
